id,split,V,A,D,teks
110CYL068_2525_2582,train,3.1,2.5,3.2,"William A Carter, Ketua Goodwill Industries Foundation"
110CYL068_2589_2593,train,3.0,2.43,3.0,PS
110CYL068_2594_2642,train,3.5,2.87,3.25,Hadiah Anda adalah investasi yang bijaksana di masyarakat.
110CYL068_2643_2750,train,3.88,3.37,3.38,"Untuk setiap dolar yang disumbangkan ke Goodwill pada tahun 1998, kami membantu ""lulusan"" kami mendapatkan sekitar $ 102."
110CYL068_2751_2841,train,3.25,3.12,3.25,"Uang itu kemudian dihabiskan dengan berbagai cara, menambah bahan bakar bagi ekonomi kita yang berkembang."
110CYL068_276_386,dev,3.7,3.1,3.3,Dia memberi tahu saya bahwa 3.666 orang yang kami bantu mencari pekerjaan pada tahun 1998 menghasilkan sekitar $ 49 juta dolar.
110CYL068_31_156,train,3.4,3.0,3.1,Beberapa bulan yang lalu Anda menerima surat dari saya yang menceritakan kisah sukses orang-orang yang mendapat pekerjaan dengan bantuan Goodwill.
110CYL068_387_522,train,3.37,3.18,3.37,"Selain itu, dengan membantu mereka menemukan pekerjaan, Goodwill mengurangi tab Dukungan Publik negara bagian dengan perkiraan $ 4 juta."
110CYL068_523_653,train,3.6,2.9,3.4,Hadiah Anda untuk Goodwill akan membantu kami melakukan lebih banyak lagi tahun ini karena hadiah Anda akan digunakan untuk secara langsung mendukung pekerjaan kami.
110CYL068_660_695,train,3.0,2.55,2.82,Pekerjaan apa yang dilakukan Goodwill?
110CYL068_702_771,train,3.29,3.0,3.0,Goodwill menemukan pekerjaan untuk orang-orang dengan cacat mental dan fisik.
110CYL068_778_1035,train,3.43,3.29,3.29,"Setelah pelatih pekerjaan Maureen mengajarinya cara melakukan pekerjaannya di sebuah restoran, kami membantu Maureen keluar dari bayang-bayang yang kadang-kadang dilemparkan ke orang-orang dengan cacat fisik dan mental dan menemukan pekerjaan yang memuaskan di tengah-tengah masyarakat."
110CYL069_1152_1284,train,3.6,3.2,3.2,"Setiap kali kami membantu seseorang menemukan solusi untuk hambatan pekerjaan mereka, efek positif memancar ke seluruh komunitas kami:"
110CYL069_1285_1401,train,3.4,3.2,3.0,"Komunitas bisnis tidak hanya menyambut pekerja lain, tetapi juga konsumen dengan daya beli yang meningkat."
110CYL069_1402_1477,train,3.0,2.9,3.2,Orang tua bertindak sebagai panutan swasembada alih-alih ketergantungan.
110CYL069_1478_1554,train,3.12,3.0,3.0,Uang pajak yang seharusnya dihabiskan untuk bantuan publik disimpan.
110CYL069_1561_1631,train,2.7,2.8,3.4,Anda dan saya tahu bahwa solusi untuk masalah sulit tidak terjadi begitu saja.
110CYL069_1638_1786,train,3.8,3.4,3.3,"Di Goodwill, ini adalah kerja keras staf dan mereka yang mendapat manfaat dari layanan kami yang menghasilkan jenis hasil inspiratif yang saya lihat setiap hari:"
110CYL069_1793_1857,dev,3.0,2.62,3.12,Seorang anggota staf Goodwill berbicara kepada sekelompok penerima kesejahteraan:
110CYL069_1858_1935,dev,3.0,2.86,3.29,"""Anda bisa mendapatkan uang untuk menghidupi diri sendiri dan keluarga Anda,"" katanya."
110CYL069_18_35,train,3.1,3.1,3.1,15 Nopember 1996
110CYL069_1936_1967,train,3.0,3.1,3.2,"""Kamu bisa mendapatkan kesejahteraan."
110CYL069_1968_1985,train,3.12,3.0,3.37,Saya tahu Anda bisa ...
110CYL069_1986_1993,train,3.1,3.1,3.2,"Saya lakukan."""
110CYL069_2000_2165,train,3.0,2.86,3.14,Seorang peserta dalam program Goodwill bergegas kembali dari wawancara kerja untuk berbagi hasil dengan teman-teman sekelasnya dalam program pelatihan penerbitan desktop kami.
110CYL069_207_260,train,2.82,2.73,3.27,Tujuan pekerjaannya meminta dia untuk melakukannya di usia 30 tahun.
110CYL069_2166_2322,train,3.46,3.55,3.18,"Setelah air matanya mereda, dia menegaskan apa yang teman-teman sekelasnya sudah tahu: Dia baru saja menerima tawaran pekerjaan - yang pertama dalam lima tahun."
110CYL069_2329_2471,train,3.27,3.09,3.18,"Berbicara pada pertemuan di pusat lingkungan, seorang anggota staf Goodwill memberi tahu audiens bagaimana Goodwill dapat membantu mereka menemukan dan mempertahankan pekerjaan."
110CYL069_2552_2596,train,3.09,2.91,3.0,Di sudut berikutnya dia memberi tahu lima lagi.
110CYL069_2603_2727,train,3.11,2.89,3.0,"Untuk mengembangkan keterampilan kerja, seorang pria dengan beberapa cacat serius mulai bekerja di divisi industri Goodwill."
110CYL069_267_291,test,2.86,3.29,3.29,Dia tidak punya waktu untuk disia-siakan.
110CYL069_2728_2826,train,2.62,2.88,2.88,Butuh waktu lama baginya untuk mendapatkan kepercayaan diri untuk bekerja di tempat lain di masyarakat.
110CYL069_2833_2895,train,3.11,3.0,3.22,"Akhirnya, dia mengubah dukungan Anda menjadi imbalan bagi kita semua."
110CYL069_2896_2948,dev,3.5,3.17,3.33,Dia dengan bangga meninggalkan Goodwill untuk menghidupi dirinya sendiri.
110CYL069_2955_2997,train,3.25,3.12,3.5,Orang-orang ini dan kesuksesan mereka adalah nyata.
110CYL069_298_312,train,3.0,3.0,3.2,Kami juga tidak.
110CYL069_2998_3069,train,3.0,2.8,3.1,Sama seperti rasa hormat yang kami dapatkan dari US News &; World Report.
110CYL069_313_453,test,3.4,3.1,3.4,"Dengan bantuan teman-teman seperti Anda, Goodwill terus menyesuaikan layanan kami untuk memenuhi kebutuhan manusia dari masyarakat kita yang terus berubah."
110CYL069_3141_3151,train,3.0,3.1,3.2,Kerja nyata.
110CYL069_3152_3165,test,3.0,2.6,3.1,Hasil nyata.
110CYL069_3166_3231,train,3.1,3.2,3.1,Perbedaan nyata dalam kehidupan orang-orang - dalam semua kehidupan kita.
110CYL069_3238_3328,train,3.12,3.25,3.38,Orang-orang yang dapat memperoleh manfaat paling langsung dari kemurahan hati Anda tidak punya waktu untuk disia-siakan.
110CYL069_3329_3408,train,3.56,3.11,3.11,Begitu juga kita semua yang merasakan hasil positif dari kesuksesan mereka.
110CYL069_3409_3451,test,3.4,2.9,3.0,Dukungan Anda membantu memberikan solusi nyata.
110CYL069_3458_3552,dev,3.0,3.0,3.0,Silakan gunakan kartu tanggapan dan amplop terlampir untuk memberi dengan murah hati kepada Goodwill hari ini.
110CYL069_3559_3569,dev,3.1,2.9,3.0,Dengan Hormat
110CYL069_3590_3635,train,3.0,2.75,3.0,"Jack Dustman, Anggota Dewan dan Mantan Ketua"
110CYL069_460_512,train,3.29,3.29,3.57,Kami tidak membuang waktu karena kami membantu masyarakat.
110CYL069_513_544,train,3.1,3.0,3.5,Dan kami tidak membuang-buang uang.
110CYL069_545_682,test,3.2,3.0,2.9,"Hadiah yang saya minta Anda buat akan digunakan untuk melanjutkan misi kami membantu orang mempersiapkan, menemukan, dan mempertahankan pekerjaan."
110CYL069_689_842,train,3.57,3.43,3.29,"Dalam ulasan mereka pada bulan Desember 1995 tentang badan amal terbaik bangsa, US News &; World Report menyebut Goodwill sebagai salah satu dari lima ""Orang Baik yang Menonjol."""
110CYL069_69_206,train,3.4,3.1,3.4,"Dalam waktu singkat sejak Goodwill membantunya menemukan pekerjaannya, Robert telah belajar membersihkan kamar motel secara menyeluruh dalam waktu sekitar 40 menit."
110CYL069_843_964,train,3.4,3.1,3.3,"Majalah itu menyatakan bahwa Goodwill (dan juga yang menonjol lainnya) adalah ""unik efektif, inovatif atau berharga."""
110CYL069_971_1145,train,2.9,3.3,3.1,"Sementara saya menghargai dukungan US News &; World Report, nilai sebenarnya dari dukungan Anda diukur dengan cara Goodwill menangani masalah yang mempengaruhi kita semua."
110CYL070_1013_1100,train,2.9,3.1,3.1,Dan ada banyak orang yang menghadapi tantangan ini setiap hari dalam hidup mereka.
110CYL070_1101_1127,train,3.14,3.0,3.29,Jadi pekerjaan kita harus dilanjutkan.
110CYL070_1134_1181,train,3.5,2.9,3.1,Semua orang mendapat manfaat dari pekerjaan yang kita lakukan bersama.
110CYL070_1182_1214,train,2.9,3.1,3.1,Banyak orang membutuhkan bantuan kita.
110CYL070_1221_1263,train,3.0,3.0,3.0,Silakan lanjutkan kemitraan penting kami.
110CYL070_1264_1318,train,3.14,3.0,3.29,Dukung Goodwill dengan sumbangan yang murah hati hari ini.
110CYL070_1325_1335,dev,3.0,2.3,2.8,Dengan Hormat
110CYL070_1342_1371,test,3.0,2.75,3.12,James M. McClelland Presiden
110CYL070_135_187,train,3.7,3.1,3.4,Kami telah membantu orang-orang membebaskan diri dari siklus kesejahteraan.
110CYL070_188_263,train,3.38,3.25,3.38,Kami telah menemukan cara bagi penyandang disabilitas untuk memasuki dunia kerja.
110CYL070_18_35,train,3.0,2.7,2.9,10 Desember 1996
110CYL070_264_371,train,3.4,3.1,3.1,Kami telah memperluas metode Goodwill yang telah terbukti ke kota-kota dan lingkungan di mana mereka paling dibutuhkan.
110CYL070_378_418,train,3.1,3.1,3.1,"Tentu saja, kami telah memainkan peran yang berbeda."
110CYL070_419_498,train,3.6,2.9,3.1,Anda telah membantu membuat pekerjaan Goodwill mungkin dengan dukungan Anda sebelumnya.
110CYL070_42_72,dev,3.0,3.0,3.0,Pengingat donor Mailhouse yang terhormat:
110CYL070_499_580,train,3.2,2.8,3.0,Goodwill telah merancang program yang mengubah investasi Anda menjadi hasil.
110CYL070_587_626,dev,3.0,3.4,3.1,Siapa yang diuntungkan dari kemitraan kami?
110CYL070_627_640,train,2.9,3.1,3.1,Setiap orang memiliki.
110CYL070_641_833,train,3.6,3.0,3.5,"Ketika Anda dan saya membantu seseorang menemukan pekerjaan, satu orang lagi bergabung dengan barisan pembayar pajak, lebih sedikit uang pajak yang dihabiskan untuk bantuan publik dan bisnis mendapatkan konsumen lain."
110CYL070_79_128,train,3.6,3.1,3.1,Anda dan saya telah melakukan beberapa pekerjaan penting bersama.
110CYL070_840_1012,train,2.67,2.89,3.11,"Ada banyak hambatan yang membuat orang tidak bekerja: cacat fisik dan mental, riwayat ketergantungan kesejahteraan dan kurangnya pendidikan atau harga diri."
110CYL071_1114_1167,test,3.78,3.33,3.33,"Akhirnya, dia telah menemukan kesuksesan dalam pekerjaan yang dia cintai."
110CYL071_1168_1224,train,3.1,3.1,3.1,Sekarang tujuannya ditetapkan untuk naik di perusahaan.
110CYL071_1231_1280,train,3.12,3.25,3.12,"Setiap tahun, ribuan orang datang ke Goodwill."
110CYL071_1281_1339,train,2.86,3.29,3.14,"Seperti Michael, mereka berbagi dua karakteristik umum."
110CYL071_1340_1405,train,3.0,2.7,3.0,Mereka menghadapi beberapa hambatan untuk pekerjaan dan mereka ingin bekerja.
110CYL071_1412_1547,train,3.38,3.5,3.63,"Dengan dukungan dari orang-orang seperti Anda, mereka dapat mengatasi hambatan mereka dan mendapatkan kesuksesan dan kemandirian yang menyertainya."
110CYL071_1548_1607,train,3.38,3.0,3.12,Dan kemudian hasilnya dimulai untuk seluruh komunitas.
110CYL071_1720_1830,train,3.4,3.1,3.0,"Tahun lalu, peserta dalam program Goodwill memperoleh - dan membayar pajak atas - upah hampir $ 3,5 juta."
110CYL071_175_239,train,3.3,3.3,3.1,Michael Sims merasa seperti itu pada usia 39 – hari dia mendapatkan pekerjaan.
110CYL071_1837_1955,test,3.7,2.9,3.3,Keberhasilan mereka di tempat kerja juga menyelamatkan pembayar pajak lebih dari tiga perempat juta dolar dalam bantuan publik.
110CYL071_18_35,train,3.0,2.2,2.8,15 Nopember 1994
110CYL071_1962_2031,test,3.0,2.38,3.38,"Namun, penghematan dihitung dengan lebih banyak cara daripada dolar dan sen."
110CYL071_2038_2263,train,3.2,2.9,3.0,"Keluarga penerima upah baru mungkin merasakan pencapaian dalam hal rumah untuk ditinggali, uang untuk membeli makanan - tanpa kupon makanan - dan awal dari sebuah keluarga yang berfokus pada kesuksesan, bukan keputusasaan."
110CYL071_2270_2322,train,3.0,3.3,3.1,Maukah Anda membantu membuat semua kesuksesan ini menjadi mungkin?
110CYL071_2323_2391,dev,2.8,2.8,3.3,Silakan kirim kontribusi terbesar yang dapat Anda berikan dengan nyaman.
110CYL071_2392_2518,test,3.6,3.2,3.1,Hadiah Anda akan membantu memberi arti baru pada kata sukses – bagi orang-orang yang jarang memiliki alasan untuk menggunakan kata tersebut.
110CYL071_246_283,test,2.14,3.14,2.86,Michael lahir dengan cerebral palsy.
110CYL071_2525_2535,train,3.25,3.0,3.0,Dengan Hormat
110CYL071_2542_2571,train,3.0,3.0,3.0,James M. McClelland Presiden
110CYL071_2578_2582,train,3.0,2.9,3.0,PS
110CYL071_2583_2616,train,3.64,3.37,3.45,Hadiah Anda akan membuat perbedaan.
110CYL071_2617_2795,train,3.6,3.2,3.2,"Untuk setiap dolar dukungan publik Goodwill yang diterima tahun lalu, kami mengembalikan $ 1,59 kepada masyarakat dalam bentuk upah yang diperoleh dan mengurangi pembayaran bantuan publik."
110CYL071_284_391,dev,3.3,3.2,3.0,"Saat memasuki dunia kerja, ia menemukan beberapa peluang kerja yang tampaknya sesuai dengan kemampuannya."
110CYL071_398_457,train,3.0,2.8,3.1,Selama beberapa tahun ia melakukan pekerjaan pengemasan dan administrasi.
110CYL071_42_48,train,3.0,3.0,3.0,Sayang
110CYL071_458_550,test,2.38,3.0,2.88,Pekerjaan terakhirnya hanya berlangsung setahun sebelum cut-back menghilangkan posisinya.
110CYL071_557_605,train,2.22,3.11,2.89,Selama 18 bulan yang panjang Michael tidak dapat menemukan pekerjaan.
110CYL071_55_94,train,3.44,3.0,3.33,Pikirkan pencapaian terbesar Anda.
110CYL071_606_664,test,2.7,3.1,3.1,Dia menggunakan dolar bantuan publik untuk bertahan hidup.
110CYL071_665_698,test,3.1,3.1,3.0,"Akhirnya, Michael menelepon Goodwill."
110CYL071_705_892,train,3.6,3.1,3.1,"Di Goodwill, konselor Michael merasa bahwa sikapnya yang ramah bisa menjadi atribut utama dan mengidentifikasi baginya kemungkinan pertandingan pekerjaan di mana keterampilan orang-orangnya bisa bersinar."
110CYL071_899_985,train,3.6,3.0,3.2,"Setelah tiga wawancara, Michael membuktikan bahwa dia adalah orang yang tepat untuk pekerjaan itu."
110CYL071_95_168,train,4.0,3.6,3.2,Pikirkan sukacita dan kesuksesan yang mereka bawa kepada Anda dan orang yang Anda cintai.
110CYL071_986_1107,dev,3.1,2.7,3.0,"Sebagai Clubhouse Monitor di Bent Tree Apartments, ia sekarang menyediakan layanan pelanggan untuk 50 hingga 60 penyewa setiap malam."
110CYL072_130_264,train,2.6,3.0,2.8,Keluhan mereka: sistem menghambat bekerja karena pengangguran memberikan manfaat yang tidak termasuk banyak pekerjaan entry-level.
110CYL072_18_123,train,3.0,2.8,2.9,Beberapa kritikus terkuat dari sistem kesejahteraan kita adalah orang-orang yang telah menjadi tergantung padanya.
110CYL072_271_313,train,3.1,3.0,3.3,Di situlah Anda - dan Goodwill - masuk.
110CYL072_314_412,train,3.25,2.87,2.87,Kami membantu orang berlatih dan menemukan pekerjaan yang memungkinkan mereka untuk keluar dari kesejahteraan.
110CYL072_413_518,train,3.8,3.3,3.2,"Tahun lalu, Goodwill menempatkan 511 orang dalam pekerjaan, lebih dari dua kali lipat jumlah yang kami tempatkan pada tahun 1993."
110CYL072_525_641,train,2.7,3.1,2.9,"Sementara perdebatan tentang reformasi kesejahteraan berkumpul seperti badai di laut, orang-orang yang membutuhkan pekerjaan menggelepar."
110CYL072_642_721,train,3.1,2.8,3.1,Kami membutuhkan dukungan Anda untuk terus mengeluarkan orang-orang dari bantuan publik.
110CYL072_728_754,train,2.9,3.0,3.0,Kesejahteraan bukanlah jawabannya.
110CYL072_755_835,train,2.8,3.0,2.8,Dan reformasi kesejahteraan adalah solusi yang tidak pasti dengan tanggal mulai yang tidak diketahui.
110CYL072_836_851,train,3.87,3.25,3.5,Goodwill bekerja.
110CYL072_852_862,train,2.86,3.0,3.43,Sekarang.
110CYL072_869_924,train,3.2,3.0,3.0,Tolong berikan hadiah terbesar yang Anda bisa untuk Goodwill hari ini.
110CYL072_931_969,train,3.0,2.8,3.0,"Hormat kami, Jack Dustman Ketua"
110CYL200_1290_1428,dev,2.3,3.0,2.8,"Dengan pengangguran pada titik terendah dalam beberapa tahun di Indiana tengah, banyak orang masih kesulitan menemukan pekerjaan yang berarti."
110CYL200_1569_1610,train,2.9,2.9,3.0,"Beberapa, seperti Jerry, adalah mantan pelanggar."
110CYL200_1611_1668,test,2.57,3.0,3.0,"Beberapa buta, tuli atau memiliki cacat fisik lainnya."
110CYL200_1675_1703,train,2.2,3.0,2.7,Lebih dari 100 orang kehilangan tempat tinggal.
110CYL200_1710_1804,train,3.4,3.3,3.2,"Tetapi Goodwill menawarkan harapan bahkan kepada orang-orang dengan banyak rintangan untuk diatasi, seperti Jerry."
110CYL200_1805_2047,train,3.5,3.1,3.4,"Dengan pekerjaan baru yang menjanjikan di produsen cetakan injeksi plastik, masalah hukumnya di cek dan tempat yang aman untuk hidup, Jerry dapat melanjutkan bisnis membangun kehidupan untuk dirinya sendiri dan berkontribusi pada komunitasnya."
110CYL200_18_32,train,3.0,2.9,3.1,17 Maret 2000
110CYL200_2048_2113,dev,3.0,2.8,2.9,"Selama dia membutuhkannya, Goodwill akan terus membantu."
110CYL200_210_382,train,2.7,3.1,2.9,"Dia tahu dia telah membuat kesalahan besar, tetapi terlepas dari komitmennya untuk membangun kembali hidupnya, dia hanya tidak mengandalkan rintangan yang akan dilemparkan di jalannya."
110CYL200_2120_2281,train,3.5,2.8,3.1,Dukungan Anda terhadap Goodwill akan memberikan pelatihan kerja dan layanan penempatan untuk membantu yang paling sulit dilayani di Indiana tengah menemukan pekerjaan yang berarti.
110CYL200_2282_2388,train,3.43,2.57,2.86,"Dan, dengan bantuan Anda, Goodwill dapat membantu pengusaha mengembangkan sumber daya untuk menjaga pekerja tetap bekerja."
110CYL200_2395_2491,train,3.29,2.86,3.29,Silakan melakukan investasi dalam stabilitas komunitas kami dengan mengirimkan hadiah ke Goodwill.
110CYL200_2492_2541,train,3.56,3.33,3.0,Kemurahan hati Anda akan membantu orang membantu diri mereka sendiri.
110CYL200_2548_2558,test,3.22,3.11,3.11,Dengan Hormat
110CYL200_2565_2594,train,3.0,2.7,3.0,James M. McClelland Presiden
110CYL200_389_480,train,2.0,3.5,2.38,Kenyataan melanda ketika dia tidak dapat berdamai dengan istrinya dan berakhir di jalan.
110CYL200_39_65,train,3.0,2.5,3.1,"Nama Alamat Kota, ST, Zip"
110CYL200_481_588,test,3.0,3.0,3.0,Dia pergi ke Center Township Trustee untuk kupon makanan sampai dia bisa menemukan pekerjaan dan tempat tinggal.
110CYL200_589_724,train,3.2,3.0,3.0,Wali merujuk dia ke Segitiga Biru di mana dia berkonsultasi dengan staf Akademi Karir Goodwill untuk bantuan pencarian kerja.
110CYL200_72_82,dev,3.0,2.6,3.1,Nama yang terhormat:
110CYL200_731_787,train,3.3,3.0,3.0,Pekerja kasus Goodwill Jerry segera menemukan pekerjaan untuknya.
110CYL200_788_832,train,2.5,3.25,3.0,Tapi masalah Jerry tidak berakhir di situ.
110CYL200_833_946,train,2.89,3.0,3.0,"Pekerjaan konstruksi musiman yang dia peroleh segera berakhir, dan dia kembali ke Akademi Karir untuk meminta bantuan sekali lagi."
110CYL200_89_209,train,3.0,2.57,3.57,"Ketika Jerry dibebaskan dari penjara, dia tahu akan membutuhkan kerja keras dan tekad untuk meluruskan hidupnya."
110CYL200_947_1076,train,2.2,3.0,2.3,"Pengangguran, tunawisma dan dengan catatan penjara, Jerry sekarang menghadapi kembali ke penjara karena gagal membayar tunjangan anak."
112C-L012_1236_1337,train,3.0,3.0,3.1,"Dana tersebut sering digunakan untuk biaya kuliah, pelatihan kejuruan atau deposit apartemen."
112C-L012_1569_1624,train,2.29,3.29,2.71,"Tanpa dukungan donor swasta, Dana ini tidak ada."
112C-L012_1625_1768,test,3.12,2.88,2.75,Harap luangkan beberapa menit untuk mengirim sumbangan untuk membantu satu atau lebih anak-anak kita berhasil melewati ambang batas itu ke masa depan.
112C-L012_1775_1785,train,3.22,3.0,3.0,Dengan Hormat
112C-L012_1792_1820,train,2.9,2.9,3.1,"Mary Roth, Direktur Eksekutif"
112C-L012_184_255,dev,3.0,2.89,3.0,Orang dewasa muda yang meninggalkan Pleasant Run memiliki perasaan yang sama.
112C-L012_18_31,train,3.0,2.75,3.0,21 Juni 1999
112C-L012_256_305,dev,2.5,2.9,2.9,Sangat sedikit yang memiliki dukungan keluarga untuk memulainya.
112C-L012_312_402,dev,2.62,2.88,2.5,"Banyak yang membutuhkan furnitur, linen, dan kebutuhan dasar lainnya untuk memulai hidup sendiri."
112C-L012_38_63,train,3.0,2.9,3.1,"Nama Alamat Kota, ST Zip"
112C-L012_409_634,test,3.2,3.0,3.3,"Untuk membantu mereka membangun diri di masyarakat, dana Emansipasi Pleasant Run dimulai pada tahun 1993 oleh donor swasta yang ingin memberikan dukungan keuangan bagi mereka yang meninggalkan program kami."
112C-L012_641_784,train,3.2,3.1,3.0,Individu yang sedang dibebaskan memenuhi syarat untuk menerima hingga $ 500 dari Dana jika mereka secara resmi menerapkan dan memenuhi empat persyaratan:
112C-L012_70_76,dev,3.22,2.89,3.0,Sayang
112C-L012_785_815,train,3.0,2.88,3.0,1. Pembebasan oleh pengadilan
112C-L012_816_865,train,3.5,3.1,3.5,2. Berhasil menyelesaikan semua tes kecakapan hidup
112C-L012_83_183,train,3.1,3.4,3.2,Apakah Anda ingat kombinasi kegembiraan dan ketakutan yang Anda rasakan ketika Anda pertama kali meninggalkan rumah?
112C-L012_872_930,train,2.88,2.88,3.25,3. Pengakhiran positif program Pleasant Run-nya
112C-L012_931_982,train,3.29,2.71,3.29,4. Memiliki ijazah sekolah menengah atau GED
112C-L012_989_1229,train,3.0,3.1,3.2,"Bukti pertemuan ini, dua surat referensi staf dan esai yang menyatakan mengapa mereka harus menerima hibah dan bagaimana itu akan digunakan semuanya ditinjau oleh panel Pleasant Run, yang menentukan apakah pemohon pantas mendapatkan dana."
112C-L013_1054_1129,train,3.0,3.0,3.0,Kemudian tugasnya adalah membantu anak-anak yang kehilangan orang tua dalam Perang Saudara.
112C-L013_1130_1256,test,2.6,3.1,2.9,"Hari ini, kami melayani anak-anak dan keluarga dengan banyak masalah: pelecehan emosional, fisik, psikologis dan seksual."
112C-L013_1257_1343,train,3.3,3.0,3.1,"Beberapa berasal dari keluarga di mana, melalui terapi, ada harapan untuk penyatuan kembali."
112C-L013_1344_1448,train,3.2,3.0,3.0,"Bagi yang lain, ""keluarga"" adalah konselor adalah teman serumah di rumah kelompok tempat mereka tinggal."
112C-L013_1455_1532,dev,2.36,3.36,2.64,Tragedi terbesar adalah bahwa masalah tidak hilang; Mereka hanya tumbuh.
112C-L013_156_252,test,2.8,3.0,3.0,"Anak-anak kecil, seperti Baby Jessica, terjebak dalam perjuangan antara orang tua angkat dan kandung."
112C-L013_1592_1655,train,3.5,3.0,3.25,Pada tahun 1995 kami akan melayani lebih dari 850 anak-anak dan 340 keluarga.
112C-L013_1656_1697,train,3.0,2.9,3.0,"Pada tahun 1996, angka-angka ini akan meningkat tiga kali lipat."
112C-L013_1698_1850,train,3.63,2.82,3.27,"Anak-anak dan keluarga yang datang ke Pleasant Run diberi kesempatan untuk menjadi anggota masyarakat kita yang bahagia, penuh kasih, dan produktif."
112C-L013_1851_1963,train,3.5,3.0,3.38,"Mereka menyambut kesempatan untuk memiliki, menjadi mandiri, untuk mendapatkan kembali harga diri dan kepercayaan diri mereka."
112C-L013_18_35,train,3.0,2.56,2.89,27 Nopember 1995
112C-L013_1964_2039,train,3.3,3.1,3.0,"Seringkali itu adalah perjuangan yang panjang dan sulit, tetapi hasilnya sangat berharga."
112C-L013_2046_2161,train,2.7,3.1,2.9,"Agar Pleasant Run terus melayani anak-anak yang dilecehkan dan diabaikan serta keluarga mereka, kami membutuhkan dukungan Anda."
112C-L013_2162_2234,train,2.71,3.43,3.14,"Sumber pendanaan menyusut, tetapi kebutuhan tumbuh secara eksplosif."
112C-L013_2235_2311,train,3.2,3.6,3.1,"Tolong ""bantu anak-anak yang baik menjadi lebih baik"" dengan mengirimkan kontribusi kepada kami hari ini."
112C-L013_2312_2388,train,3.2,3.0,3.1,Hadiah Anda akan memberi anak-anak dan keluarga harapan untuk hari esok yang lebih baik.
112C-L013_2395_2405,dev,3.0,2.75,3.12,Dengan Hormat
112C-L013_2412_2421,train,3.0,2.7,2.9,Maria Roth
112C-L013_253_379,train,2.1,3.1,2.7,"Anak-anak yang lebih tua, seperti Tracy dan Kerry, kehilangan tempat tinggal setelah pembunuhan-bunuh diri baru-baru ini di Indianapolis merenggut Ibu dan Ayah."
112C-L013_380_529,train,2.4,3.1,3.1,"Orang dewasa muda, seperti Mary T., seorang ibu tiga anak yang menganggur, berusaha mati-matian untuk menjaga anak-anaknya keluar dari masalah di lingkungan yang penuh kejahatan."
112C-L013_42_54,train,3.0,2.71,3.43,Teman:
112C-L013_530_542,train,3.62,3.87,3.0,Orang sungguhan!
112C-L013_549_574,train,2.9,2.9,3.0,Ada ribuan lagi.
112C-L013_575_652,train,1.9,3.3,2.9,"Keluarga sedang terkoyak, dan terlalu sering, anak-anak menjadi korban."
